Headline,Attention
What A Genius Way To Break Down Barriers,1
These Muslims REALLY Want You To Like Them,0
Senator Al Franken On How Cheetos Are Bringing Forth The Apocalypse? Sort Of?,1
The One Where A U.S. Senator Waxes Philosophically About Cheetos?,0
A Senator Stages An Intervention With Some Other Senators Because Of Cheesy Poofs?,1
Al Franken: Cheesy Poof Denier. Because Big Coal.,0
Senator Franken Forced To Use Kid's Analogy To Help Other Senators Understand That Science Is Real,1
Senator Franken Resorts To Using A Child's Analogy To Help Senators Understand How Science Works,0
Remember Your Awkward Teen Years Spent Figuring Out Your Sexuality? This Guy Thinks You're A Rapist.,1
Did This Old Guy Just Accuse All Sexually Active Teenagers Of Being Rapists?,0
"This Anti-Abortion Dude Is Awfully Eager To Make Sure Sexually Active Teenage Girls Get Pregnant
",1
This Anti-Abortion Dude Is Awfully Eager To Make Sure Sexually Active Teenage Girls Get Pregnant,0
The Classy Way To  Take On People Who Hate You,1
Watch: Amazing Video Of Muslims Converting People In New York.,0
This Parody Of Fox News Is Actually More Responsible About Fact Checking Than The Real Fox News,1
"Watch Fox & Friends Morning News Show, Except Actually Funny And More Accurate",0
Watch An Abused Child Get A Secret Help Message In Broad Daylight That His Abuser Can't See,1
How To Stop Child Abuse With Epic And Secret Ninja-Spy Messaging Action,0
MUST WATCH: 3 Young Women Missing For 10 Years And Locked In House Found By Awesome Good Samaritan,1
MUST WATCH: 3 Young Women Missing For 10 Years And Locked In House Rescued By Awesome Good Samaritan,0
Here’s What The Little Guys Can Do That The Big Guys Just Can’t,1
"Give Me 6 Minutes, And I’ll Make You A Forever Believer In Community Radio",0
Imagine If A Company Patented Your Fingers And Sued You If You Tried To Use Them. Imagine No More.,1
"If Someone Tried To Patent Oxygen, I'm Pretty Sure I'd Do Everything Possible To Suffocate That Idea",0
These Artists Figured Out An Awe-Inspiring Way To Celebrate Mother's Day. Want To Join In?,1
You've Never Seen Mother's Day Like This Before,0
What’s It Like To Leave Your Culture Behind And Be Unwelcome In Your New Home?,1
Immigrant Voices: What It Was Like Coming To America,0
Creepy Corporation Does Something So Cartoonishly Evil That We Have To Make A Dr. Evil Reference,1
"It's Rare That I Imagine A CEO Petting HIs Creepy Cat In A Volcano Lair, But This Company Is Special",0
"When The Internet Goes Down, This Powerful Channel Is Still Up And Running",1
Here’s What The Little Guys Can Do That The Big Guys Just Can’t,0
How Al Gore Could Have Won The 2000 Presidential Election With Ease,1
How Mr. Squash Became Mayor Of Plantville,0
"Guess Who Is Responsible For 25% Of The American Diet?
",1
"It’s Going To Hurt A Lot More If We NEVER Get Stung By Bees Again
",0
"You Think You Don’t Need To See This Hand-Washing Video. But You Do.
",1
You Know Those Annoying People Who Use 7 Paper Towels In The Bathroom? This Is For Them.,0
Creepy Corporation Does Something So Cartoonishly Evil That We Have To Make A Dr. Evil Reference,1
"Remember That Time When A Company Bought The Rights To Your DNA? Yea, That Already Happened.",0
Your Body Was Just Patented By A Corporation. You. Your Specific Body. I'm Not Joking.,1
This Corporation Just Bought The Rights To Your DNA. Seriously.,0
"You Won't Believe The Effect The Internet's Having On Your Brain. Actually, You Will.",1
Could Watching This Video Repair The Damage It's Doing To You?,0
What Do Hidden Cameras Reveal About Humanity? Something Amazing.,1
This Will Make Your Day Better,0
A Truly Great Woman Reads An Homage To Her Favorite Body Part,1
Why Is This Woman So In Love With Her Hips?,0
"A Woman With A Great Mind Asks You To Take A Moment To Appreciate Her Body 
",1
"A Woman With A Great Mind Asks You To Appreciate Her Body 
",0
Creepy Corporation Does Something So Cartoonishly Awful That We Have To Make A Dr. Evil Reference,1
Biotech Corporation Does Something So Cartoonishly Evil That We Have To Make A Dr. Evil Reference,0
Because Your Mom Probably Doesn't Want Chocolate And A Coupon Book,1
"This Is An Infinitely Better Present Than Chocolates, Flowers, And A Coupon Book",0
Corporation Does Something So Cartoonishly Awful That We Have To Make A Dr. Evil Reference,1
Awful Corporation Does Something So Cartoonishly Awful That We Have To Make A Dr. Evil Reference,0
American Attitudes Towards These People Have Changed Since Never,1
"Americans Sure Treated Foreigners Differently 100 Years Ago, Depending On How You Define Different",0
Awful Corporation Does Something So Cartoonishly Creepy That We Have To Make A Dr. Evil Reference,1
Corporation Does Something So Cartoonishly Awful That We Have To Make A Dr. Evil Reference,0
Because Your Mom Probably Doesn't Want Chocolate And A Coupon Book,1
What's Better Than My Usual Present Of Chocolate And A Coupon Book?,0
You Won't Believe Who Is A Bigger Threat To America Than Osama Bin Laden,1
I Would Really Love It If Congress Stopped Trying To Kill All Of Us,0
Definitive Proof That There's No Such Thing As Boy Toys Or Girl Toys (Until You're Over 18),1
A Super Simple Guide To Buying Toys For Boys And Girls,0
Last I Checked The Bible Doesn't Say Anything About Memorizing Trivial Quotes. It Does Say This.,1
The Cliff Notes On Jesus Christ In The Bible,0
Watch These Straight People Answer A Question Gay People Have Been Asked For Years,1
Straight People: We're Just Born This Way!,0
"We Don't Teach Kids Chemistry In Gym Class, So Why On Earth Would We Teach This In Science Class?",1
The Most Important Reason We Don't Play Dodgeball In Chemistry Class,0
"If These Women Are Brave Enough To Show Their Faces, We Should Be Brave Enough To Watch This Video",1
This Qualifies As An Absolutely Unforgivable Crime,0
I Needed A Reason To Cheer Today And Here It is,1
This Is What America Looks Like And It Made Me Want To Stand Up And Cheer,0
The Scariest Math Problem I've Ever Seen. Can You Solve It?,1
One Of These Things Is Not Like The Other One,0
I Needed A Reason To Cheer Today And Here It is,1
Watch A Bunch Of American Soldiers Invade Our Own Country. For A Good Reason.,0
"Congratulations, World! We're Number 1 In The Most Disturbing Thing EVER!",1
"If We Break This World Record, You'll Have No One To Blame But Yourself And Everyone Else",0
"Congratulations, World! We're #1 In The Most Disturbing Thing EVER! WEE!",1
"Congratulations, World! We're Number 1 In The Most Disturbing Thing EVER! YIPPEE?!",0
"Meet Dale. Gay People Make Him Uncomfortable. Ironically, He Makes Everyone Else Uncomfortable.",1
Your Scared Heterosexual And You!,0
"Meet Dale. Gay People Make Him Uncomfortable. Ironically, He Makes Everyone Else Uncomfortable.",1
"If Gay People Scare You, Then You Are Doing It Wrong",0
This Is Dale. This Is Dale's Raging Homophobia. This Is Everyone Else Judging Dale. Bad Dale.,1
"Meet Dale. Gay People Make Him Uncomfortable. Ironically, He Makes Everyone Else Uncomfortable.",0
This Is Dale. This Is Dale's Raging Homophobia. This Is Everyone Else Judging Dale. Bad Dale.,1
Meet Dale. Gay People Scare Him. George Takei Makes Him Panic.,0
"The Video You Won't Want To Watch, But Really Should",1
"If These Women Are Brave Enough To Show Their Faces, We Should Be Brave Enough To Watch This Video",0
"Student Freaks Out After Realizing His Class Isn't About Learning, But About Checking Off Lists",1
Angry Student Is Sent To Principal's Office For Demanding An Actual Education Instead Of A Fake One,0
Student Freaks Out In Front Of His Class And Says What We're All Thinking About Our Education System,1
"Student Freaks Out After Realizing His Class Isn't About Learning, But About Checking Off Lists",0
"If These Women Are Brave Enough To Show Their Faces, We Should Be Brave Enough To Watch This Video",1
"You Won't Want To Watch This Video, But You Should Watch It Anyway",0
Mesmerizing Photographs Of Soldiers' Faces Before And After A War,1
Can You Spot The Differences In A Face That Has Seen A War?,0
"The Earth-Shatteringly Amazing Speech That’ll Change The Way You Think About Adulthood
",1
Some Advice For Getting Through The Frustrating Moments Of Adulthood,0
"An Earth-Shatteringly Amazing Speech That Is Sure To Crash Your Pity Party
",1
"The Earth-Shatteringly Amazing Speech That’ll Change The Way You Think About Adulthood
",0
"The Last Time This Awful Thing Happened, We Didn't Even Exist",1
"Congratulations, World! We're #1 In The Most Disturbing Thing EVER! WEE!",0
The Earth-Shatteringly Amazing Speech That’ll Change The Way You Think About Adulthood,1
The Earth-Shatteringly Amazing Video That Is Sure To Crash Your Pity Party,0
America's Moms Have Looked Around And Found A Few Completely Unacceptable Things,1
Meet The Moms Who Aren't Taking Any Crap,0
Elizabeth Warren Has A New Idea That’ll Make You Swoon,1
Elizabeth Warren Has A Very Good Idea. Let’s Make It A Reality,0
"Elizabeth Warren Smacks Down Big Banks In The Friendliest Way Possible. Ya Know, For Kids!",1
Senator Warren Asks The Senate To Help Your Kids So They Don't Live With You Forever,0
How Much Does It Cost To Make Congress Ignore Something 91% Of Americans Support?,1
The United States Senate Has Over 8 Million Reasons To Be Ashamed,0
Your Mom Went Through Hell For You. So The Least You Could Do Is Dance For Her.,1
The One Time It's Totally Appropriate For Me To Talk About Your Mom,0
Your Mom Went Through Hell For You. So The Least You Could Do Is Watch This.,1
I Can't Believe What My Mom Did For Me,0
Your Mom Went Through Hell For You. So The Least You Could Do Is Watch This.,1
My Mom Went Through Hell For Me. So The Least I Can Do Is Send Her This.,0
Some People Are Going To Get Really Mad When They See This Picture. It Just Makes Me REALLY Happy.,1
"Move Along Haters, Nothing To See Here",0
The Incredible Way This Beaten Woman Is Fighting Back,1
Why Millions Are Cheering For This Abused Women,0
It Doesn't Take A Rocket Scientist To Understand How Much This Epic Song Rocks. Especially IN SPACE.,1
Watch A Classic And Epic Rock Song About Space Being Sung By A Space Man IN SPACE,0
The Final Act Of The Departing Commander Of The International Space Station Truly Rocked,1
OMG. There's A Riff In The Space Time Continuum.,0
The Final Act Of The Departing Commander Of The International Space Station Truly Rocked,1
"Well, That's Never Happened Before. IN SPACE.",0
The Final Act Of The Departing Commander Of The International Space Station Truly Rocked,1
I Was Unaware That They Took The Old 1980s MTV Channel Up Into Space,0
The Final Epic Act Of The Departing Commander Of The International Space Station Truly Rocked,1
The Final Act Of The Departing Commander Of The International Space Station Truly Rocked. IN SPACE.,0
"I Think I Speak For Everyone When I Say, 'Please Keep Your Genitals Out Of Our Toy Stores.' Okay?",1
"Why Toys 'For Boys' And Toys 'For Girls' Makes No Sense
",0
FLOWCHART: Definitive Proof That There's No Such Thing As Boy Or Girl Toys (Until You're Over 18),1
"FLOWCHART: I Think I Speak For Everyone When I Say, 'Keep Your Privates Of Our Toy Stores.' Okay?",0
Here’s How Much It Costs To Block A Bill That 91% Of Americans Support,1
How Much Does It Cost To Make Congress Ignore Something 91% Of Americans Support?,0
What Do Prisoners Want? I'll Give You A Hint: Every American Child Gets It For Free.,1
"We Already Threw One Book At Them, Why Can't We Do It Again?",0
"What Happens When Congress Needs To Use Something They Accidentally Cut Funding To?
",1
America Is Living Under A Budget Designed To Be So Awful That It Would Never Be Enacted? Sweet.,0
"I Think I Speak For Everyone When I Say, 'Please Keep Your Genitals Out Of Our Toy Stores.' Okay?",1
FLOWCHART: When It's Okay For Boys To Play With Dolls And Girls To Play With Cars,0
"How Delaware Just Ruined The List Of The Top 10 Best States
",1
Ain't No Party Like A Delaware Party Cause A Delaware Party Is Inclusive,0
"See Four Great Minutes From The Man Who Has Inspired Zillions Of Writers

",1
How One Of America’s Great Writers Was Almost One Of America’s Great Tennis Players,0
"One Of America's Most Legendary Artists Goes After America's Largest Employer, From The Grave",1
"When A Dead Guy Is Angrier At Our Government Than Some Live People In Congress, We've Got A Problem",0
Listen Gay People: You're ALREADY Equal!,1
The 'National Marriage Organization' Is Setting The Record 'Straight' About 'Gay Marriage',0
"You've Heard The Anti-Gay Leviticus Bible Quote, But Have You Heard The Very Next Line?",1
A Suitable Punishment For Gay People According To Leviticus. Who's Picking And Choosing Now?,0
The One Where Bill Maher Gets Clobbered By A Knuckle-Sandwich Of Fact,1
Glenn Greenwald Scores One For Historical Context,0
"It May Look Like Graffiti, But It's Actually A Ridiculously Concise Indictment Of The Media",1
"This Is A Bleak View Of Corporate News. In Other News, It's A Pretty Accurate One.",0
Gay People Can Legally Get Married In Every State In The Union. There's Just One Catch.,1
The National Marriage Organization Is Fighting The Gay Agenda With Bulletproof Logic,0
The Secret Psychology That Shopping Malls Use To Trick You Into Spending Money,1
The Devious Tricks That Shopping Malls Use To Mess With Your Brain,0
Why Does The World Keep Screaming At These Space-Traveling Little Creatures?,1
Are You Brave Enough To Stop Killing One Of Man’s Best Friends?,0
How Does The Worst Human Being Of Retail Sleep At Night? Not So Great After This Goes Viral.,1
Even Better Than Humiliating The Most Despicable CEO In Retail? Improving The World While Doing So.,0
Did This Billionaire Just Say What I Think He Said?,1
What Dirty Secret Did This Knight Just Reveal About His Virgin?,0
30 Classic Dr. Seuss Quotes That Will Change Your Life. Again.,1
The Greatest Quotes By Dr. Seuss Never Get Old,0
"OK, Let's Make A Deal. You Take A Look At This, And You Can Skip Today's Flossing.",1
"Chew On This, If You Want To Live",0
"Think Gay Parents Are Different Than Straight Parents? Watch This, Then We'll Talk.",1
This Is Really Going To Make You Want Two Dads,0
Here's A Home Video That Wouldn't Have Been Possible 20 Years Ago,1
Tell Me What It's Gonna Be Like Now That You Two Are Going To Be Grandpas',0
Son Gives His Gay Dads The Best News Ever. This Is Their Mildly NSFW Reaction.,1
The Mildly NSFW Reaction 2 Gay Dads Had Upon Getting The Best News They'd Ever Heard From Their Son,0
The Punishment For Blowing The Whistle On Government Corruption Is Horrific,1
Trying To Uncover Government Corruption? You May Have To Finish Your Investigation From Prison.,0
"When His Dad Beat His Mom, He Was Powerless To Stop Him. He's Not Powerless Now.",1
"A Starship Captain. A Superhero. A Knight. Before All That, He Was A Scared Little Boy.",0
"We Don't Teach Kids Music In Gym Class, So Why On Earth Would We Teach This In Science Class?",1
"We Don't Teach Kids Art In Gym Class, So Why On Earth Would We Teach This In Science Class?",0
"We Don't Teach Kids German In Gym Class, So Why On Earth Would We Teach This In Science Class?",1
"We Don't Teach Kids French In Gym Class, So Why On Earth Would We Teach This In Science Class?",0
His Dad Beat His Mom. He Tried To Stop Him. But He Was Only 5. So He's Speaking Out Now.,1
"When It Comes To Ending Violence Against Women, Here's One Man Who Would Like To 'Make It So'",0
His Dad Beat His Mom And He Had To Watch. That's Why He's Speaking Out Today.,1
"Watching This Starship Captain Get Choked Up About Ending Domestic Violence Will Make You Cry, Too",0
His Dad Beat His Mom. He Tried To Stop Him. But He Was Only 5. So He's Speaking Out Now.,1
One Man's Incredibly Personal And Powerful Story About Growing Up With An Abusive Father,0
The Best Kiss Between Two 81-Year-Olds You’ll Ever See,1
I’ve Never Been So Happy To Watch Two 81-Year-Olds Make Out,0
The Zombie Bill That Could Destroy Your Right To Privacy,1
Meet The Bill That Would Let 603 Government Agencies Spy On You (Without A Warrant),0
A Kid Falls Off HIs Skateboard And The World Is Better Off For It,1
Why It's A Good Thing This Kid Wiped Out Off His Skateboard,0
A Kid Falls Off HIs Skateboard And The World Is WAY Better Off For It,1
It's A Good Thing This Kid Totally Biffed It Off His Skateboard,0
A Kid Wipes Out On His Skateboard And The World Is WAY Better Off For It,1
A Skateboarding Kid Eats Pavement And The World Is WAY Better Off For It,0
A White Dude Stood Up And Said Some Stuff He Really Shoulda Worn A Hood For,1
There's A Reason They Usually Wear Hoods Before They Say Things Like This,0
"Ask Yourself, What Would You Do If A White Nationalist Said This In Front Of You?",1
Raise Your Hand If You Would Tell This Guy That Slaves Should Be Grateful To Their Masters,0
They Canceled Class Today — All The Teachers Got Arrested While Protesting For Voting Rights,1
This Historian Is Being Arrested Because He Believes In Voting Rights,0
This Guy Is Really Sad That Everyone Won't Hear Him Out About The Awesomeness That Is White Power,1
This Guy Is Really Sad That Everyone Won't Hear Him Out About How White Power Isn't A Bad Thing,0
Why Hacking The Government Is Far More Awesome Than You Think,1
I'm Actually Comfortable With These People Hacking The Government,0
A White Dude Stood Up And Said Some Stuff He Really Shoulda Worn A Hood For,1
This Guy Is Really Sad That Everyone Won't Hear Him Out About The Awesomeness That Is White Power,0
A White Guy Stood Up And Said Some Stuff He Really Shoulda Worn A Hood For,1
A White Dude Stood Up And Said Some Stuff He Really Should Have Worn A Hood For,0
"Watch A Brave Little Girl Take On Her Rapists, Her Village, And Her Culture",1
"The Brave Girl We'd All Be Proud To Call Our Daughter, Our Sister, Our Friend",0
Meet The Happiest Man To Call HImself A Christian Who Is In No Way A Christian At All,1
Know How White People Always Save African People In Movies? They Just Make Everything Worse In This.,0
"If 9 Out Of 10 People Get This Song Stuck In Their Head, It Will Save Their Lives",1
Quick! Share This With Everyone You Love And/Or Want To Torture!,0
A Bunch Of Happy White People Who Think They Speak For God Go To Uganda And Totally Misrepresent Him,1
Some Perky People Who Don't Understand Christianity Go To Africa And Do Awful Things In Its Name,0
A Gorgeous Waitress Gets Harassed By Some Jerk. Watch What Happens Next.,1
WATCH: Some Everyday Heroes Stand Up To Bully Of Transgender Waitress,0
People Always Threaten To Move To Canada When They Don't Get What They Want. Think Twice About That.,1
"Dear Canadians, We Know We Are Bad At The Environment, But You Are Not A Special Snow Flake",0
I'm Tired Of Drug Users Living It Up On The Tax Payer Dime. Time To Make Them Give Back.,1
"You Can Lock Up Drug Users All You Want, But You Might As Well Burn Your Wallet While You Are There",0
Tell Me More About How Immigrants Are Destroying Our Country,1
"The Most Reasonable Argument For Sane Immigration Policies I've Ever Heard. Also, The Most Rhymed.",0
All The Men In This Video Are Awful. Thankfully All The Women In This Video Are Amazing.,1
Women Earn 78¢ On Every $1 Compared To These Men. So Some Women Are Gonna Do Something About That.,0
America Knows War. They Are War Masters.' — A Guy America Is Trying To Kill.,1
America's Secret Military Makes 'Mission: Impossible' Look Like Child's Play,0
Why America Needs To Behave Better If We Want To Be The Greatest Nation On The Planet,1
America Is Sick Of Mass Killings. So Is Pakistan. So Is Yemen.,0
"If You Like 'Mission: Impossible,' You'll LOVE This Movie. The Problem Is, This One Isn't Fiction.",1
America Knows War. They Are War Masters.' — A Guy America Is Trying To Kill.,0
You Think I Should Move To Canada If I Don't Like It Here? No Way. That Place Is Scary.,1
"You Know Who Is Bad At Taking Care Of The Earth? The USA. You Know Who Is Worse? Canada, Eh?",0
Watch A Bunch Of Misogynists Say Dumb Things And Then Lose,1
How A Bunch Of Women Have Started Fighting Back Against A Culture That Does Its' Best To Ignore Them,0
You Think I Should Move To Canada If I Don't Like It Here? No Way. That Place Is Scary.,1
People Always Threaten To Move To Canada When They Don't Get What They Want. Think Twice About That.,0
"Most Of The Men In This Video Are Awful. Thankfully, The Women In This Video Are Wonderful.",1
"Most Of The Men In This Video Are Awful. Thankfully, The Women In This Video Are Amazing.",0
The Kind Of Girl-On-Girl Love That Everyone Can Agree On,1
"Oh Snap, Is My Favorite TV Star Building An Army Of…Young Girls?",0
Here's The Sexiest Homage You'll Ever Hear To An Inanimate Object.,1
"Move Over, John Keats. Grecian Urns Are SO 1820.",0
Best Way To Answer A Question. Hands Down.,1
"BOOM: How You Hope to Have Any Question Answered, Every Time.",0
Ten Cents Can’t Buy Anything These Days. Or Can It?,1
How Amazing Would It Be If Food Workers Didn’t Have To Struggle To Feed Their Families?,0
"They May Look Ordinary, But 16 Million Kids Have A Secret. And It Hurts. ",1
Some Of The 16 Million America Kids In Pain Could Live In Your Neighborhood. Do You Want To Help?,0
"The State Of The World Is The Question, And GIRLS Are The Answer",1
Can One Small Investment REALLY Change the Future of Humanity?,0
"If Will Ferrell Was Your Economics Professor, Here’s How He Might Explain An Unfair Economy.",1
The Amount Of Money A CEO Makes By The Time You See This Video? Gazillions.,0
Please Don’t Call Her A Monster.  She Is A Mother.,1
DAMN.  You Will Remember This Voice For The Rest Of Your Life.,0
These Homophobic Signs Just Got Pretty Gay,1
Step 1: Put Down The Sign. Step 2: Apply Cold Water To Burn.,0
"5/16 Of These People Are Never Convicted Of… Hang On, What?",1
Step 1. Watch This. Step 2. Feel Empowered By These Kick Ass Women,0
Why We Need More Adult Films In Theaters,1
Find Out Why An Oscar-Winning Film Director Wants More Adult Films In Theaters,0
This Is What It Looks Like When A Pro Athlete Gives Out Her Contact Info To Any Gay Kid In Need,1
This Is What It Looks Like When A Gay Pro Athlete Gives Out Her Contact Info To Any Gay Kid In Need,0
You Think I Should Move To Canada If I Don't Like It Here? No Way. That Place Is Scary.,1
You Think I Should Move To Canada If I Don't Like It Here? No Way. That Place Is Dangerous.,0
"Most Of The Men In This Video Are Slightly Awful. Thankfully, The Women In This Video Are Wonderful.",1
"Most Of The Men In This Video Are Awful. Thankfully, The Women In This Video Are Wonderful.",0
This Will Change The Way You Look At Your MP3 Player. Guaranteed.,1
Here's The Sexiest Homage You'll Ever Hear To An Inanimate Object.,0
This Is What It Looks Like When A Gay Athlete Gives Out Her Contact Info To Any Gay Kid In Need,1
What It Looks Like When A Pro Athlete Gives Out Her Contact Info To Any Gay Kid Who Needs It,0
I Bet You Wouldn't Let Aliens Treat Your Mother This Way,1
"ET Go Home, This Is MY Planet To Destroy",0
"Bitch, Please.  I’m A Momma.  I got this.",1
Give Me The Highs.  Give Me The Lows.  Give Me Motherhood.,0
This Beautiful Woman’s Day Is About To Get Crapped On… HARD.,1
This Beautiful Woman Is Going To Wish It Was Raining Cats And Dogs.,0
Do The Cops Really Wonder Why We Say ‘Fuck The Police’?,1
I Thought Knowing The Difference Between A Taser And A Gun Was Basic Cop Stuff,0
"What Being ""One Of THOSE Girls"" Means In America Today",1
"Hoping For A Future Where I Can Be Naked, Drunk, AND Safe.",0
An Awkward Kid Grows Up Into A Force Of Nature With A Wonderfully Positive Message.,1
"What Do A Street Sign In Moscow, A Mailbox In Chicago And The Great Wall Of China Have In Common?",0
Obamacare Explained. In 90 Seconds. By Nurses.,1
Nurses Explain How Obamacare Will Affect Your Future,0
Whoa. Guess Some Things Haven’t Changed Much Since The ‘80s,1
We’re Not Equal Yet - Just Ask Oprah,0
Want To Travel The World? Look At Map To See The Countries You May Want To Avoid.,1
You Think America Has An Immigration Problem? Try The Whole World.,0
Take A Deep Breath And Try Not To Cough Up A Lung,1
Would You Like Your Gas Mask In White Or Original Camo?,0
The Happiest Story About A Kid Dying Of Cancer I've Ever Seen,1
We Lost This Kid 80 Years Too Early. I'm Glad He Went Out With A Bang.,0
"I Hope I Die With As Much Grace, Style, Courage And Love Of Life As This Kid Did",1
Cancer Wasn't A Death Sentence For This Kid. It Was A Wake Up Call.,0
"A Beautiful Eulogy For A Kid Who Died Of Cancer, But Went Out Fighting",1
"Dear Cancer: This Kid Wasn't Afraid Of You, And His Legacy Will Defeat You",0
This Kid Just Died. What He Left Behind Is Wonderful.,1
"If You Take Your Life For Granted, You Should Watch This Story About A Kid Who Is No Longer With Us",0
"I Hope I Die With As Much Grace, Style, Courage And Love Of Life As This Kid Did ",1
Zach Wanted To Be Remembered As A Kid Who Went Down Fighting. Mission Accomplished. And More.,0
This Kid Just Died. What He Left Behind Is Wonderful.,1
RIP Amazing Rock Star Teenager Who Punched Cancer In The Face With Love On The Way Out,0
This Kid Just Died. What He Left Behind Is Wonderful.,1
We Lost This Kid 80 Years Too Early. I'm Glad He Went Out With A Bang.,0
This Kid Just Died. What He Left Behind Is Wonderful.,1
"If You Know You Are Gonna Die Before You Turn 19, You Might As Well Do This",0
Why We Need More Adult Films In Theaters,1
Find Out Why An Oscar-Winning Film Director Wants More Adult Films In Theaters,0
This Kid Just Died. What He Left Behind Is Amazing.,1
This Kid Just Died. What He Left Behind Is Beautiful.,0
"They Had To Wait Four Years, But Jon Stewart's Graduation Speech Was Totally Worth It",1
Jon Stewart Tells A Room Full Of Overachievers That Success In College Doesn't Mean Much,0
Colbert's Graduation Speech Rips On Everything From Immigration To Safety. The Students Loved It.,1
Stephen Colbert Tells College Graduates That He Hates And Fears Them. They Quickly Forgive Him.,0
"Would You Rather Be A Jerk To Everyone, Or A Nobody? This Graduation Speech Makes It Really Obvious.",1
"Are You A Nobody? Great! According To This College Graduation Speech, You're Officially Not A Jerk.",0
"If You're Curious What Neil deGrasse Tyson Would Be Like As Your Dad,
Watch His Graduation Speech",1
"If You Mess With Human Curiosity, You're Going To Hear About It From Neil deGrasse Tyson",0
"If You Want To Be Able To Pay For Childcare, You Need To Start Saving Money When You Turn 16",1
"If You're 16, It's Time To Start Planning For Your Future Child's Preschool Education Fund. For Real.",0
The Illuminati Have Been Lowering Their Standards For Membership Lately,1
That Time Bono Called Matt Damon A Nerd And Hit Him With A 2x4,0
How Did This Famous Nerd Sneak Into A Secret Meeting Of The Illuminati?,1
How Do You Say Nerd In Irish?,0
We Have Found Out Who Is In The Illuminati. The Other Thing We Found Out: They Are Weird.,1
Why The Illuminati Think Matt Damon Is A Wanker,0
We Snuck A Camera Into An Illuminati Meeting And This Is What We Found Out,1
The Illuminati Are Coming For Your Toilets,0
We Snuck A Camera Into An Illuminati Meeting And This Is What We Found Out,1
The Illuminati Sure Have Been Lowering Their Standards For Membership Lately,0
Remember When You Were LIttle and Looking Up At The Sky Made You Feel Awe? Need Some More Of That?,1
Why You Have To Reconfigure Your Mental Models Of The World In Order To Drink In The Awesome Beauty Of The Night Sky,0
The World's Greatest Boyfriend Died At Age 18 — Then The Internet Made Him Immortal,1
"Zach Sobiech Died Of Cancer At Age 18. Millions Upon Millions Of Views Later, He Became Immortal.",0
"Sorry Kids, But Mommy And Daddy Can't Afford A Car Because The Government Hung Them Out To Dry",1
"Sorry Kids, But Mommy And Daddy Can't Afford Breakfast Because The Government Hung Them Out To Dry",0
SHOTS OF AWE: Why You Have To Reconfigure Your Mind To Experience The Most Meaningful Moments In Life,1
"AWETASTIC: Why You Have To Reconfigure Your Mind To Accomodate Awe, Wonder, And Rapture",0
The Argument Against The Stop-And-Frisk Policy Gets An Upgrade Courtesy Of A Hip Hop Icon,1
Why Stop At Illegally Detaining And Frisking Innocent People? Let's Get Racist About It!,0
"If You Like Your Friends, Statistically They Like You Too. You Can Stop Being Paranoid Now.",1
Did Facebook Change Your Relationship With Your Friends? Do You Think You're Better Off?,0
"One Of The Most Patriotic Things I've Ever Seen Doesn't Involve Guns, God, Or Glory",1
One Woman And An Army Of Paintbrushes Are Making Sure We Never Forget Our Army Of Fallen Heroes,0
"For Every 3 Friends You Have, Statistically Only 1 Of You Is Actually Happy ",1
It's Time For America To Stop Being Paranoid About Our Friends Secretly Hating Us,0
The Most Inspiring And Heartfelt Reason To Make Hilariously Inappropriate Jokes Ever,1
"This Kid's Body Is Kind Of A Jerk. Thankfully, His Brain Has Figured Out How To Ignore That.",0
Which 7-Letter-Word Is NOT A 4-Letter-Word (Despite What Some Politicians Would Like You To Think)?,1
The Founding Fathers Probably Would Have Hated To See America NOT Moving In Which Direction?,0
9 Places Where No Woman Has Ever Been,1
Check Out Some Of The World’s Most Crowded Sausage Fests,0
10 Magical Pieces Of Street Art That’ll Hit You Square In The Soul,1
10 Beautiful Reasons To Look Up From Your Smartphone,0
"This Kid's Body Is A Nightmare. Thankfully, He Has His Epic Sense Of Humor To Keep Him Awake.",1
"This Kid's Body Is Kind Of A Jerk. Thankfully, His Brain Has Figured Out How To Ignore That.",0
Have You Heard Of The Recent IRS Scandal? Because They Kinda Covered Up A Much Bigger One.,1
"When You Screw Up, The IRS Makes You Pay. When The IRS Screws Up, The IRS Makes You Pay.",0
"This Kid's Body Is A Nightmare. Thankfully, He Has His Epic Sense Of Humor To Keep Him Awake.",1
The Most Inspiring And Heartfelt Reason To Make Hilariously Inappropriate Jokes Ever,0
The Bluntest Speech In The History Of The Universe Lays It All Out For Graduates Before They All Die,1
The Guy Who Directed 'The Avengers' Tells A Bunch Of Parents That Their Kids Are All Going To Die,0
Have You Heard Of The Recent IRS Scandal? Because They Kinda Covered Up A Much Bigger One.,1
You've Heard Of This Recent IRS Scandal? It's Not Nearly As Bad As The One That Got Covered Up.,0
The Bluntest Speech In The History Of The Universe Lays It All Out For Some Kids Before They All Die,1
Behold The Bluntest Speech In The History Of Time For College Grads Before They Become Worm Food,0
The Bluntest Speech In The History Of The Universe Lays It All Out For Some Kids Before They All Die,1
The Bluntest Speech In The History Of The Universe Lays It Out For College Kids Before They All Die,0
Behold The Bluntest And Deadliest Graduation Speech In The History Of The Known Universe,1
"The Bluntest Graduation Speech In The History Of The Universe: Oh God, Oh God, We're All Gonna Die!",0
