Headline,Clickability
This Dude Has A Lot Of Rules For Women. I Think He’s Right.,1
Best,1
People Ask This Lesbian Weird Questions And Her Raised-Eyebrow Game Shames Us All,0
People Like This Don't Change Things All By Themselves. It Takes A Whole Village.,0
People with homes are cheaper for taxpayers than people without homes. So what gives?,0
"He Didn't Do The Ice Bucket Challenge, But He Did Something I Could Never Do",1
"He Didn't Do The Ice Bucket Challenge, But He Did Something I Could Never Do",1
Pepsi And Coke Don’t Want Us To Know About How They’re Playing Voters. Secret’s Out. Bah Dah BOOM!,0
Photographer Captures Some Powerful Moments As Protesters Stand Up For Their Rights,0
How Your Name Makes A 1st Impression ... Before You Do,1
Plans To Snag Some Hot Deals On Friday? Here's A Thought On What To Do With The Money You Saved.,0
"1 Out Of 5 Of Your Friends Might Be Keeping This A Secret, Wishing They Didn't Have To",1
Please Stop Going To The Circus. It’s An Awful Place. I’ll Prove It If You Give Me 1 Minute.,0
"Poisonous Fish, Exploding Mountaintops, And Kids With Asthma? WTF?! 
",0
Take A Look At These Kids And Parents And Then Tell Me Why In The Hell We’re Sending Them Back ‘Home’,1
"Policing And Thug Life: If Killer Mike Put This Interview On An Album, I'd Buy That Record.",0
Why I Can Never Read The Comments On A Story About Sexual Crimes,1
Pow! A surprising ad using a popular TV show proves just how cool the Labor Department can be.,0
A Simple Comparison That Will Open A Lot Of People's Eyes. And Probably Piss A Few People Off.,1
Best,1
A Simple Comparison That Will Open A Lot Of People's Eyes. And Probably Piss A Few People Off.,1
Pre-Rape and Post-Rape Activities Don't Matter. Rape Does.,0
Prohibition: The Policy That Just Won't Die,0
Put A Cape On This Guy Because The Way He Fights His Demons Is Super Human,0
Let These Drawings With A Dog Show You What Should You Do When You Approach Someone With Depression,1
Let These Drawings With A Dog Show You What Should You Do When You Approach Someone With Depression,1
Put A Ring On It: Gloriously Gay Video Chats For A More Wonderous World,0
"Putting 100K Homeless People Into Houses? Yes, They Did.",0
"For Some, It’s No Sex Before Marriage. For Them, It’s No Sex Until...",1
"For Some, It’s No Sex Before Marriage. For Them, It’s No Sex Until...",1
Best,1
Questions You Shouldn't Ask Your Biracial Friend Unless You Like These Wonderfully Classic Responses,0
Random Acts Of Kindness' Selfies Are Trending. Take That Bullies.,0
What If Norman Rockwell Went To Ferguson?,1
Real Power Is Not Gained: It's MADE.,0
Only 1 In 7 Adults Will Succeed At This Challenge. Will You?,1
Every Person On The Planet Has A Different Way Of Living. 5 Photo Essays Show How.,1
Real Power Is Not Gained: It's MADE.,1
Reality Can Sell Clothes Better Than Photoshop. It's A Fact.,0
One Woman's Awesome And Kinda Steamy Poem Had Me Pumping My Fist...And Fanning Myself,1
Best,1
Religious Freedom: What It Is And 3 Examples Of What It Should Never Be,1
Move Over Mark Zuckerberg. Little Black Girls Are Coming For Your Throne.,1
"Remember The Military Industrial Complex? It Grew A Newer, Creepier Head, And It's Coming For You.",0
Her Parents Have No Idea She's Doing The Thing They Never Wanted Her To Do - Especially On Camera,1
"Remember Those ‘Work From Home’ Ads? Well, You’re Already Doing It. Surprise!",0
"Next Time Someone Says You're Too Emotional And Need To Be More Objective, Let Her Do The Talking",1
Republican Dave Wilson Wins In A Black District. How? It's Worse Than You Think.,0
"If Anyone Has Ever Said Anything Cruel To You On The Internet, Then This One Is For You",1
"Right Now ""Big Data"" Means Government Spying. But It Doesn't Have To. It Gets Better.",0
Rod Serling (Creator Of 'The Twilight Zone') Rips On Media Censorship,0
Best,1
"For The First 24 Seconds, I Want To Pinch Their Cheeks. After That, S*** Gets Real.",1
The 1 Thing These Children DON'T Want Happens To 1 In 6 Australian Women,1
"Say What You WIll About Old Conservative Farmers, But They Sure Do Love Their Immigrant Friends",0
"Say What You Will About The NRA, But They Sure Do Scare The Hell Out Of Senators",0
"An Open Letter To All The Bullies On The Internet, From The Vast Majority Of Humanity",1
"Say What You Will About The NRA, They Sure Do Pay Their Employ- Er, I Mean, Senators Well",0
Science Explains Why Rich People Don't Care About You,0
Racism Is A Lot Less Fun When Your Kids Make Fun Of Your Dumb Racist Club,1
Racism Is A Lot Less Fun When Your Kids Make Fun Of You Because You’re A Shitty Racist,1
Science Facts Agree: Books = Red Bull For Your Brain,1
"Scientist Think This Special Cell Can Cure Parkinson's, Diabetes, And Countless Other Diseases",0
"Scientist Think This Special Cell Can Cure Parkinson's, Diabetes, And Countless Other Diseases",0
The Mirror That Changes The Way Women Look At Themselves — For The Better,1
Scientists Are Dying To Unlock The Secrets Of This Special Cell Because Of It's Limitless Potential,1
Scientists Can't Wait To Unlock The Secrets Of This Special Cell Because Of It's Limitless Potential,0
Screw The Hollywood Definition Of Beauty: We're Changing That One Selfie At A Time,0
If Looks Could Kill You Wouldn't Wanna Judge This Little Girl's Dog,1
Best,1
Look At Her Dog With Judgement And She'll Look At You The Same Way,1
SeaWorld’s been swamped by a tidal wave that began when a movie got behind the scenes.,0
See A Completely Fact-Checked 3 Minutes On What You Should Know About Vaccines And Their Controversy,0
"See the powerful Chinese documentary, 'Under The Dome,' summarized in English for the first time.",0
Most People Flying In And Out Of This Airport Have No Idea What They’re Flying Over,1
See The Striking New Artwork Banksy Created To Show That He Stands With Syria,1
See what happened in a country that didn't put extreme anti-choice lawmakers in check. It's scary.,0
The Not-So-Pretty Truth Why Some Kids Are Hiding Who They Really Are,1
See what happened in a country that didn't put extreme anti-choice lawmakers in check. It's scary.,0
They Executed A Boy Who Looked Like Him. So He Figured Out A Way To Help.,1
Best,1
Senator Chris Murphy Learned The Hard Way What It’s Like To Live On Food Stamps,0
"It Doesn't Matter How Many Times I See This Experiment, It's A Punch To The Gut Every Time",1
What She Says About These Cartoons Says Mountains About How Children See Themselves. It's Not Good.,1
Sex Is All Fun & Games... Until It Involves Talking To Kids About It.,0
SEX: Let's Talk About How We Should Be Talking About It.,0
"Make Sure No One Is Around You When You Watch This Video, Because You'll Probably Scream The F-Word",1
"Sexy, Sexy, Sex: Now Coming To Classic Literature Near You",0
Best,1
"Put 3 Women In A Room, And 1 Will Have A Story That Chills You To The Bone. That's A *Big* Problem.",1
She Dedicated Her Golden Globe To A Young Girl She'll Never Meet. Times Are Changing.,0
She Explains Why It Just Gets More And More Beautiful As You Zoom In,0
"It Accounts For More Deaths Than Breast Cancer, AIDS, And Car Crashes But We're Afraid To Tackle It",1
She Found Herself Pregnant But Didn't Stay That Way. I'll Let Her Take It From Here.,0
"You Might Laugh, But She Wasn't Joking And The Point She's Making Is Serious",1
She left her family to care for dogs in the Artic. What her mom does for her is beautiful.,1
He Was So Freaked Out When He Saw The Kids He Could Only Point His Camera Down,1
Best,1
She Lists 10 Things Every Woman Should Know. #3 Makes Me Weak At The Knees.,0
"She may have died last year, but these little girls are keeping her memory alive and well.",0
"We Know What Gender Stereotypes Look Like, But What Would Life Look Like Without Them?",1
"We Know What Gender Stereotypes Look Like, But What Would Life Look Like Without Them?",1
"She misses her dad, but how she's coping would make him proud.",0
"She was born a girl. She knew she was a boy. And what his parents did ... well, just take a look.",0
"If You've Ever Worried About Not Being Pretty, This Song Is For You",1
Best,1
She Wore A Pretty Pink Halter Dress To Graduation But It Didn't Look The Same The Next Day,1
How One Legendary Sitcom Handled Date Rape In The 80's Makes Me Wish I Had SinBad On Speed Dial,1
She's Allowed To Teach Kids About Sex But It's Horrifying What She's Leaving Out,0
"They Were Friends, But She Was In Love. At 3:55 She Drops The Bomb, And The Crowd Goes Silent",1
"They Were Friends, But She Was In Love. At 3:55 She Drops The Bomb, And The Crowd Goes Silent",1
"She's Beautiful, Gorgeous, Stunning... Call Her Anything But Exotic.",1
She’s Got A Problem With Common Core And She Ain’t Afraid To Calmly Explain Why She Hates It,0
CNN Asks An Expert A Dumb Question. Here's His Epic Take-Down.,1
She’s Got A Problem With Common Core And She Ain’t Afraid To Calmly Explain Why She Hates It,0
1 Shocking Photo Is Evidence That It May Be Too Late To Save The World From Catastrophe,1
Shh ... And Check Out A Kenyan Library That Fights Cybercrime. Quietly.,0
Should parents be required to vaccinate their kids?,0
This 17 Year Old Explains Why Rape Is Never A 'Mistake'. What's Scary Is Who He's Talking To.,1
Should People Stop Blaming The Media For Making Women Feel Badly About Themselves? Nope.,0
Madonna Is So Popular That She Can Break A Law In Front Of Thousands And Everyone Cheers,1
Should People Stop Blaming The Media For Making Women Feel Badly About Themselves? Nope.,0
It Only Takes 7 Images To See Things That Might Have Been Invisible To You,1
Should Special Needs Children Have To Prove Their Worth?,0
Show This To All The Women In Your Life And Let Them Know — They Are Warriors,1
A Nice Girl Waved At Him. He Didn't Wave Back Because She Was Gay. His Dad Responded Appropriately.,1
SHUDDER: Can We Deport This Guy Instead?,0
"Silly Lawmakers, People Are People And Companies Are Companies. Right?",0
Since When Is Separating Families An American Value?,0
Requiem For Mike Brown' Wasn't On The Program. They Heard It Anyway. Loud And Clear.,1
Sleazy Billionaires Trying To Buy US Elections Are About To Get A Taste Of Their Own Medicine,1
So What Good Is It For Me To Join A Union?,1
There Are Certain Things *Nobody* Should Profit From. Here's An Example.,1
"So You Wanna Remind Your Father, Brother, Or Hubby But It's Too Awkward? Just Show 'Em This Instead.",0
"White People, This Is Actually The Perfect Place For Your Kids To Go To College",1
Best,1
So You're Not Sure If You Should Ever Use The Word 'Gay?' Here's The Handiest Flow Chart Ever.,1
The Abortion Debate Makes A Lot Less Sense When You Learn More About Who's Getting Them,1
So You’re Telling Me There’s Power In My Mouse Clicks? Rad!,0
Some Call It An Investment In Your Future. But It's Turned Into More Of A Financial Pain In The Ass.,0
Some Facepalm-Worthy Low-Lights From Our Slow March Towards Self-Sabotage,0
A Bunch Of Little Kids Reveal The Frightening Reality They Face Every Day. It's Pretty Upsetting.,1
A Bunch Of Little Kids Reveal The Frightening Reality They Face Every Day. It's Pretty Upsetting.,1
"Some Helpful, Smart Advice On What To Do If Someone Close Tells You They've Been Raped",1
Some Of Your Paycheck Goes To Something Every Week Thay They Want To Get Rid Of,0
A Bunch Of Little Kids Talk About The Frightening Reality They Face Every Day. It Gets Real.,1
A Bunch Of Little Kids Talk About The Frightening Reality They Face Every Day. It Gets Real.,1
Some Well-Known Musicians Reveal The Top Reasons Why They Make Music,0
The Pill May Change Your Perspective On Moms (And Women In General),1
Best,1
Some words need to be 'retired' from our language. Here's my #1 choice.,0
Have You Ever Heard 'Don't Act Like A Typical Tourist'? Here's Why.,1
Somebody Get Playboy Some Ointment Because They Suffered A Serious Neko Case Burn,0
Someone Figured Out How To Make Basketball And Beer Incredibly Poignant,0
A 50 Year Old  Song Sounds New Coming From The Mouth Of Countless Cool Famous Women,1
Someone Named Nurse Renée Stopped This Kid's Suicide Note In Its Tracks. And I'm So Thankful For It.,0
Someone who has a camera in their phone could use a helping eye. Or two.,0
A Guy With A Twisted Sense Of Humor Explains How Your Brain Is Quicker To Judge Than Your Eyes,1
A Guy With A Twisted Sense Of Humor Explains How Your Brain Is Quicker To Judge Than Your Eyes,1
Someone Wrote That 'Attachment Parenting' Doesn't Go With Feminism. Here's A Mom Who Says It Does.,0
Something Is Happening At These Kids' Schools That's Making It Very Scary For Them To Attend,0
"A Man And A Woman Speak At The Same Time, With Nearly The Same Words. The Differences Say It All.",1
"A Man And A Woman Speak At The Same Time, With Nearly The Same Words. The Differences Say It All.",1
Something Super Tiny Is Killing 3 Million People Every Year. And There's More.,0
Something Super Tiny Is Killing 3 Million People Every Year. And There's More.,1
A Delightful Little Ditty About Something That Everybody Who Owns A Pair Of Balls Needs To Do,1
Sometimes The Best Way To Deal With A Bad Idea Is To Make It Come Alive,0
"Nothing More Shocking Than Little Girls Dropping The F-Bomb, Except The Words That Come After",1
"Sometimes the more power people use, the less power companies make. It can be a great thing.",0
"Nothing More Shocking Than Little Girls Dropping The F-Bomb, Except The Words That Come After",1
"Sometimes you're a caterpillar, and sometimes you're a snail. This animation shows you why.",0
"Sometimes, To Win Big, You Gotta Dream Big",0
Best,1
"Stop having sex today, and the FDA will let you give blood next year. #celibacychallenge,",0
This Kid's Skin Falls Off If He Moves Wrong. He Still Crack Jokes About It. Funny Jokes.,1
This Kid's Skin Falls Off If He Moves Wrong. He Still Cracks Jokes About It. Funny Jokes.,1
Stop What You're Doing And Take 2 Minutes To Get Fired Up (In A Good Way),0
Stop What You're Doing And Take 2 Minutes To Get Fired Up By Maya Angelou,0
Mandy Moore Points Out Something About The Ebola Epidemic That The News Isn't Really Reporting,1
Students Can't Keep Studenting Without One Key Ingredient,1
It Only Takes 45 Seconds Of His Story To See Why Hollywood Ate It Right Up,1
Take 2 minutes to see what women do for HOURS to get water.,0
Take 5 minutes to learn 10 facts about Iran that you probably won’t hear on the news,0
Take A Look At These Kids And Parents And Then Tell Me Why In The Hell We’re Sending Them Back ‘Home’,0
"Imagine: 21 Hour Work Days, With A Smile On Your Face The Whole Time. Meet The Railway Porters.",1
"Talk About Soft. When I Was A Kid, It Took An Actual Felony For A School To Send A Kid To Jail",0
I Couldn't Believe What 1 In 5 Inmates Are In Jail For. But The Numbers Don't Lie.,1
Best,1
"Teachers, And Those That Love Them — Here's A Toolbox That Will Rock Your Classroom!",0
7 Questions About Butts Answered Including 'Why Are Girl Butts Bigger Than Boy Butts'?,1
Teachers: Still Hot After All These Years,0
Certain Sex Acts May Be Against The Law But There's A Way Around Them,1
"Texas Lawmaker Brandishes A Quill Pen, Which Somehow Isn't The Most Outdated Tool In The Texas House",0
That One Time A Convicted Felon Got 6% Of The Votes Cast For President,0
A Mom And Her Son Stand Together And Answer Questions About His Transition,1
That one time somebody used an awkward party metaphor to show chemical interactions. Successfully.,0
That Time A Hardcore Conservative Demanded We Stop Treating Immigrants Like Second Class Citizens,1
"He's In Almost Heaven, But He's Not Dead. Yet.",1
That Whole 'Make Love Not War' Saying Applied To Something Important That Has Nothing To Do With War,1
Best,1
"She Setup Her Webcam To Rehearse A Dance, But Ended Up Recording Something Much More Important",1
Best,1
The “ism” that desperately needs some love,0
Anderson Cooper Delivers The Most Satisfying Takedown To A Jaw-Droppingly Inappropriate Frat Party.,1
Anderson Cooper Delivers The Most Satisfying Takedown To A Jaw-Droppingly Inappropriate Frat Party.,1
The #1 Most Hated Company In America Is About To Get Some More #Burn,1
"The 1st praises her mom, the 2nd gives thanks. But when the 3rd tells about a friend, I’m all misty.",1
These 2 Images Will Make Youlook At Domestic Violence From A *Wildly* Different Perspective,1
Best,1
"Of All The Materials They Used To Make Their Fine Guitars, One Had A Price That Broke Their Hearts",1
The 5 Reasons Why Blaming The Victim Creates More Victims,0
"At Age 18, She Was Finally Free. Not Because Of Her Age, Because She Took Her Wig Off.",1
"At Age 18, She Was Finally Free. Not Because Of Her Age, Because She Took Her Wig Off.",1
The 6 best parts of the president's conversation with these Girl Scouts about their science project.,0
Best,1
They Asked 50 People In Iran The Same Big Question. These Are Their Answers.,1
The Alternative To Buying A Coffee And Leaving It In A Random Mailbox,0
"2 Seconds In, This Might Make You Uncomfortable. If You're Not By The End, I Don't Want To Know You.",1
The Amazing Story Of How One Of The Most Famous Trumpet Players In The World Changed America,0
The Amazing Story Of How One Of The Most Famous Trumpet Players In The World Changed America,0
"If You Only Vote For Presidents, You Might Be Doing This Whole Democracy Thing Wrong",1
The Amusing Response SNL Give To Victoria's Secret After They Ban A Mom From Breastfeeding In Store,1
I've Always Dreamed Of Interrupting A Teacher During History Class. How He Did Was Just Brilliant.,1
"The Ancient Greeks, Pacific Islanders and Maya All Ignored This One Thing. Big Mistake!",1
Watch The People At This Party Get Quite An Unexpected Lesson,1
The assumption that good people make about injustice that makes everything worse.,1
"I Was Already Moved, But When This Gets To The Tall Guy With The Deep Voice, It’s All Over For Me",1
Best,1
5 Easy Ways To Make Yourself A Ridiculously Good Listener,1
The Best Gift You Could Ever Give Your Mother Is Love. Oh ... And A Hundred Thousand Dollars A Year.,0
The Biggest Financial Busts In History In One Easy-To-Read Chart,0
What It Looks Like When Women View Their Pregnancy Bodies As Something To Be Proud Of,1
"The Bill That Will Make College Students Absolutely Love President Obama For, Oh, About Two Years
",0
The boy didn't want to blend in. He wanted to stand out. And they made it happen.,0
"What This Girl Did To Her Sister, Father And Stepmom Was Very Wrong. And Now She Knows.",1
"There's Something Wrong With How A Girl Lived Through Her Parents' Divorce, And Now She Knows",1
The Bravest Photographers In Afghanistan Might Be The Ones Working After The Troops Are Gone,0
"The bully punches him in the face. Later, he follows the bully home, and that's where he sees it.",0
"The Capital Of Florida Just Passed A Law To Get Money Out Of Politics. Yes, That Florida.",0
There’s An Ugly Way Some Parents Deal With Their Kids In Private That Should Be Exposed In Public,1
There’s An Ugly Way Some Parents Deal With Their Kids In Private That Should Be Exposed In Public,1
The Clever Tricks Advertisers Still Work On Us. Maybe They Do.,0
Best,1
These 4 Tweets Tell You All You Need To Know About 'Gang Signs',1
"The Compelling, Horrifying Story Of How 1 Country Is Letting A Horrible Company Destroy Its Beauty",0
He Said I Hope I’ll Be Back Soon. The Policemen Didn’t Say Anything. They Just Left Her There.,1
He Said I Hope I’ll Be Back Soon. The Policemen Didn’t Say Anything. They Just Left Her There.,1
The Creator Of 'The Twilight Zone' Discusses The Dangers Of Censorship In The Media. Sound Familiar?,0
Revealed: The Magic Behind Birth Control,1
The Daily Show's Rebuttal To A Fox News Commentator Who Thinks Cat-Calling Women Can Be Classy,1
The Dead People Can't Walk Onto Stage And Tell Their Stories Like She Did. So It's Up To Us.,0
The Donald Sterling Thing Has Solved A Ton Of Problems In Pro Sports … Right?,0
The environment has an unlikely hero: guitars.<br>,0
A Dad Supports His 13 Year Old Daughter's Dream: Even If It Means Never Seeing Her Again,1
A Dad Supports His 13 Year Old Daughter's Dream: Even If It Means Never Seeing Her Again,1
The fact that this specialty magazine is still a thing shows how sexist America still is.,0
The Facts About Ebola Are So Much More Important Than The Panic About Ebola,1
Best,1
Why Women Might Stop Taking Naked Selfies Once And For All. Consider It A Warning.,1
"The Fans Asked, And LEGO Responded. Introducing Female Figurines That Shatter Gender Stereotypes.",0
The fastest way to increase bankruptcies in your state? It rhymes with 'right-to-shirk.',0
"Celebs Are Giving The Finger To Bullies, But Not In The Way You Might Think",1
The First 8 Words Hit Me Like An Aftershock. The Rest Of It? That's What Felt Like An Earthquake.,0
"The First Step Is Starting. The Next Step Is ... You Know What, We'll Deal With That Once We Start.",0
Ever Wonder What It's Like To Have Trouble Learning? Amazing Video Lets You Experience It.,1
The Footage You're About To See Hasn't Seen The Light Of Day In Almost A Half-Century,1
The Gay Marriage Joke That Instantly Made This Guy One Of My Favorite Comedians,1
A Letter From A Teacher — 'Dear Parent: About THAT Kid …',1
"The Girl From 'Mad Men' Looks Mad At First, But At The End? It's The World That's Mad.",0
The Glass Ceiling Has A Definite Bias,0
She Asked Strangers To Ask Her Questions About Lesbians And Her Raised-Eyebrow Game Shames Us All,1
The Happy Secret To Better Work,0
"The Selfies Were Already Bad Enough, But Then There Was Everything Else. This Woman May Have Issues.",1
"The Selfies Were Already Bad Enough, But Then There Was Everything Else. This Woman May Have Issues.",1
The Heartbeat In This Video Obviously Does Not Belong To The Corporation Involved,0
The Hobby Lobby Case Isn’t The Only One That Went Screwy … Here’s Another.,1
She Took Personal Photos She Found In An Awful Tragedy And Put Them All Over Facebook. Well Done.,1
The Horror Stories These Former Foster Care Kids Have Sound Unbelievable. Too Bad They're True.,0
"The huge price one comedian paid so that George Carlin, Richard Pryor, and others could make it big.",0
"The Image Looks So Weird At First, But Then She Goes Deeper, And Suddenly It’s Beautiful.",0
Finally Some Details About What Really Happened To The Missing Nigerian School Girls,1
"I'm Just Going To My Job, Like Any Other Person,' He Says. But That's Pretty Humble.",1
"The Internet Can Do Some Crazy Things, But Can It Save Us From Ourselves?",0
The Internet Proves Once Again How Great It Is At Diagnosing Celebrities. Ahem. Not.,0
The Kind Of Room Service That Will Make Your Hotel Stay Even Better,0
A 13-Year-Old Came Out To His Best Bro And The Response Gave Me All The Feels,1
Best,1
She's Allowed To Teach Kids About Sex But It's Horrifying What She's Leaving Out,1
"The lab coat guy sounds pretty legit, but really? He's just scaring you into doing what he wants.",0
She's Allowed To Teach Kids About Sex But It's Horrifying What She's Leaving Out,1
"The lab coat guy sounds pretty legit, but really? He's just scaring you into doing what he wants.",0
The Lifeless Body Is A Metaphor,0
These People Stood Around And Listened To Strangers Comment On Their Appearances. It Went Well.,1
The Magic Of This River Being Brought Back To Life Makes Me A Really Hopeful Person,0
The Man Who Created The First Gay-Friendly Mosque Deals With Death Threats Like A Champ,0
The Man Who Created The First Gay-Friendly Mosque Deals With Death Threats Like A Champ,1
He Saw A Sight That No Other Human Will Ever See — It Was Breathtaking,1
Best,1
30 Seconds Of Talking Cats That'll Make You Smile,1
"The more we ignore what's going on in Nigeria, the bigger the problem gets",0
The Most Ambitious Indiegogo Campaign Ever Might Just Get Us A Free Press,0
The Most Simple Argument Against Raising The Minimum Wage Might Not Be As Simple As You Think,0
The National Holiday We Used To Celebrate In November Until Thanksgiving Came Along,1
The Most Simple Argument Against Raising The Minimum Wage Might Not Be As Simple As You Think,0
The National Holiday We Used To Celebrate In November Until Thanksgiving Came Along,0
"Canada Has Some Pretty Cool Laws, But This One About Boobs Makes Me Proud",1
Best,1
"The Neat Thing Is, This Is A Regular Story About American Values. If Only Everyone Saw It That Way.",0
How To Make Sure No One Thinks You Are Being Racist,1
"The Next Time Hear Someone Pass Judgment On Abortion, Here's Something To Think About",0
The Non-Expectations Of Health Care For These Women Makes The Fact They Received It Even Sweeter,1
A Kinda Snobby Question You Need To Stop Asking When You First Meet Someone,1
The #1 Question You Ask When You First Meet Someone That Makes You Look Kinda Snobby,1
The Not-So-Pretty Truth Why Some Kids Are Hiding Who They Really Are,0
Crowds Of Angry People Can Get Dicey When Cops Arrive. Here's How To Best Capture It On Video.,1
The NRA Claims It's Latest Victim. Say Goodbye To Background Check Reform.,0
The Numbers Don't Lie. There's A Reason Not To Mistake Compassion For Weakness.,0
"The Ancient Greeks, Pacific Islanders and Maya All Ignored This One Thing. Big Mistake!",1
"The One Where A Teen Has Hundreds Of Shoes, And Actually Does Something Amazing With Them",0
"The One Where A Teen Has Hundreds Of Shoes, And Actually Does Something Amazing With Them",0
The Only Thing That Could Make This Song Better Is If Ruth Bader Ginsburg Was Singing It With Him,1
"The Oscars, racism, and how they impact your life, even if you think they don't",0
The Doctor Gave Him 2 Choices. His Decision Ended In Tears. But He Won't Forget What She Taught Him.,1
The Doctor Gave Him 2 Choices. His Decision Ended In Tears. But He Won't Forget What She Taught Him.,1
The Overwhelmingly One-Sided Relationship Between 650 Gallons Of Water And A T-Shirt,1
Best,1
Perdue Execs Are Probably *Terrified* That This Video Exists. Too Bad.,1
The Prison To Back-To-Prison System Isn't Working For Anybody. So Why Do We Keep It Going?,0
The Program That's Teaching Young Black Girls One Of The Greatest Skills They'll Need To Succeed,0
When Two Famous Singers Came Out As Gay — And 10 Other Great Things That Happened In 2014 Country,1
The Public Library’s Secret Superpower Is … Internet Access?,0
The Quickest And Most Touching Wedding I've Seen In Some Time,0
Lupita Nyong'o Shares Her Perspective On An Unfair Question Every Kid Has Heard A Million Times,1
"The Recovery Is Over! Stock Market Is Up! Life Is Great! Wait, What?",0
Something Alive Is Moving About Half Of The Water In The Oceans,1
The Relationship Status Between Sugar And Your Brain: It's Complicated,0
How 4 Colors Are Making Some People See Only Pink And Blue,1
How 4 Colors Are Making Some People See Only Pink And Blue,1
The result? 72% less chronic homelessness. The reason. Give'em homes.,0
The Results Are In And America's Sweetheart Is… Sugar. All Of The Sugar.,0
"When A Celebrity Like Samuel L. Jackson Puts This Out There, You Know It's Going To Go Big",1
"When A Celebrity Like Samuel L. Jackson Puts This Out There, You Know It's Going To Go Big",1
"The Rich Are Getting Richer Because They Are Doing Some Shifty, Shifty Things",0
"The right to good working conditions, to be respected, the right to fair pay. Pretty basic. right?",0
"The Sad, Angering, And Shameful Thing Some Cops Are Doing That Needs To Be Stopped",0
The Horror Stories These Former Foster Care Kids Have Sound Too Bad To Be Real. But They Are.,1
The Sanctity Of Marriage Gets More Sanctity In One Place Than I've Seen In Quite Some Time,0
Here's Why Some People Can't Put Their Money In The Bank,1
"The Secret Drone Base Nearby Freaked Her Out, And Now This Grandmother’s Going To Jail",0
Best,1
"He Listed Off All The Things That Could Be Done With My $3 And I Was Like, 'No Way.' But Yes Way.",1
The shortest month of the year is Black History Month. Maybe people couldn't handle 31 days of this?,0
"It's The Holiday Season, So It May Be Tempting. But Don't Be The Person Who Opens This Kind Of Gift.",1
The Stock Market Breaks Records And Wall Street Is Overjoyed. Main Street? Not So Much.,0
"If 'Walter White' Had Been 'Walter Black,' And Other Observations On White Privilege In TV",1
"The Stock Market Is Up, And I'd Prefer Not To Cheer...Kthanxbye",0
"When A Girl Looks At Pencils And Sees Windshield Wipers, You May Want To Pay Attention",1
I See A Bag Of Apples. But This Teenage Girl Sees Something Totally Different. Pretty Impressive.,1
Best,1
I Thought I Knew About The Origin Of Christmas. Until About 45 Seconds In.,1
The Top 5 Reasons To Watch The New Nightly Show — Starring This Dude,0
The Tragedy In Ferguson That Blew Up A 'Powder Keg',0
Since When Is Being Homeless A Crime? Check This Out.,1
The Truth: Some Very Smart Business People Want To Raise The Minimum Wage.,1
The Undeniable Power Of A Health Worker. Why Aren't They Sticking Around?,0
J.K. Rowling Sure Knows How To Put Me In Tears. She Wants To Get Rid Of Orphanages As We Know Them.,1
The Undeniable Power Of A Health Worker. Why Aren't They Sticking Around?,0
"She Learns It's Healthy In School, But What If There's Nowhere To Buy It?",1
The Video Every College Admissions Committee Should Use,0
Science Explains Why Rich People Don't Care About You,1
The Viral Thing None Of Us Are Immune To. Thank Goodness For That.,0
Watch It. Listen To The Guys. Watch It Again. Listen To The Women. Then Listen To The Women Again.,1
Best,1
Archie Bunker’s Brilliant (?) Summary Of What Equal Pay Would Do To America,1
The War On Drugs Is Over. Guess Who Won?,0
Archie Bunker’s Brilliant (?) Summary Of What Equal Pay Would Do To America,1
The Way A Love Of Music Is Bringing These Lost Souls Back To Life Is Enough To Make Anyone Cry,0
The West Has Always Done Things Big. And Now This.,0
"Claudia Worked A Full Night's Shift — And Then Instead Of Getting  A Paycheck, She Had To Pay",1
"The world's taught us not to talk about it, but it's time to open up about abortion.",0
3 Girls Got On National Television And Told The Truth About America. Fearless.,1
3 Girls Got On National TV And Told The Truth About America. Badass.,1
"The world's taught us not to talk about it, but it's time to open up about abortion.",0
The Zombie Bill That Makes Warrantless Wiretapping Look Like Child's Play,0
"Their Day Starts At 5:45 With The Rooster, But You Couldn't Be Further From Fresh Fruits And Veggies",0
"4 Resumes Are Exactly Identical, Except 1 Key Difference. The Awful Results Say So Much About Us.",1
Their photo bomb does everything but bomb. How 2 guys are changing perception.,0
He's Obsessed With Data And He Found Something Really Shocking,1
"Their Shelves Were Empty, And Women Were Dying",0
"When President Obama Made Her Life A Little Easier, She Didn't Celebrate. And I Don't Blame Her.",1
The 4 Words She Says At The Beginning Are Devastating. But The Ones At The End? Unshakeable.,1
Best,1
Their Water Was Shut Off. She Helped Them Get It Back On. You Won't Believe How She Did It.,0
Here’s What It Would Look Like If The Women We Saw In Ads Were Real,1
Best,1
"Then The Penguins Were Like, 'Yeah, Can You Leave'?",1
She Lists 10 Things Every Woman Should Know. #3 Makes Me Weak At The Knees.,1
There Are 4 Types Of People Who're Hurt By Voter ID Laws. Chances Are You Know One Of Them.​,0
There Are A Lot Of People In Jail. 1 In 5 Of Them Are There For These Reasons.,0
She Won A Golden Globe And Dedicated It To A Teen She Never Met. Here's Why It's A Big Deal.,1
"There Are Lots Of Ways To Die, But What Are The Top 3 In Your Country?",1
There Are Places On American Soil That Are More Like France Than Kansas,0
A 6-Year-Old Asks ​Neil DeGrasse Tyson An Adorable Question. He Gives Her An Awesome Answer.,1
Fat Bodies Went On Stage Because She Wanted To See How People Would Respond,1
